statement,true_label,pred_label
Building a wall on the U.S.-Mexico border will take literally years.,true,false
Wisconsin is on pace to double the number of layoffs this year.,false,mostly-true
Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,half-true,barely-true
"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",pants-fire,false
Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,true,mostly-true
Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,true,half-true
"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.",barely-true,half-true
Donald Trump is against marriage equality. He wants to go back.,true,false
We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,barely-true,half-true
We know there are more Democrats in Georgia than Republicans. We know that for a fact.,barely-true,true
PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,barely-true,false
Denali is the Kenyan word for black power.,pants-fire,false
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",false,mostly-true
On residency requirements for public workers,half-true,false
Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,true,mostly-true
Unfortunately we have documented instances where people defecated in the (Statehouse) building.,pants-fire,false
"Each year, 18,000 people die in America because they don't have health care.",true,mostly-true
Ronald Reagan faced an even worse recession than the current one.,false,half-true
There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,mostly-true,false
The number of illegal immigrants could be 3 million. It could be 30 million.,pants-fire,mostly-true
